ID,t,d0_s1,impr,warm,comp,valence,statval,statnum,statchar,Itemtype,x1,x2,x3,x4,x5,x6,x7,x8,itemnum,Meanval1,Meanval2
6,6,0,-2.64,-1.79,-0.96,neg4,-1,4,RS4,5,-1,-1,0,0,0,-1,0,0,4,2.4,2.2
6,7,0,-2.8,-0.64,-2.2,neg12,-1,12,LIS4,7,-1,-1,0,0,0,1,-1,-1,4,2.79,2.62
6,8,0,-0.46,-0.64,-1.66,pos2,1,2,KS2,1,-1,1,-1,0,0,0,0,0,2,5.89,5.98
6,9,0,-1.58,-1.28,-2.43,neg8,-1,8,INCPS4,6,-1,-1,0,0,0,1,1,1,4,2.67,2.48
6,10,0,-1.58,-1.28,-2.43,neut2,0,2,NS2,9,8,0,0,0,0,0,0,0,2,4.29,4.21
6,11,0,0.96,0.97,0.42,pos8,1,8,COMS4,2,-1,1,1,1,1,0,0,0,4,5.89,5.98
6,12,0,0.85,0.97,0.42,neut6,0,6,NS6,9,8,0,0,0,0,0,0,0,6,4.31,4.3
6,13,0,0.85,0.97,0.42,neut4,0,4,NS4,9,8,0,0,0,0,0,0,0,4,4.36,4.36
6,14,0,0.32,1.62,0.9,pos11,1,11,ITS3,3,-1,1,1,-1,-1,0,0,0,3,6.16,6.2
6,15,0,2.27,2.24,1.75,pos7,1,7,COMS3,2,-1,1,1,1,1,0,0,0,3,5.82,5.88
6,16,0,2.48,2.49,1.69,pos1,1,1,KS1,1,-1,1,-1,0,0,0,0,0,1,5.91,6.01
6,17,0,-0.88,-0.03,-1.56,pos13,1,13,CONS1,4,-1,1,-1,0,0,0,0,0,1,5.9,5.94
6,18,0,0.81,-0.33,0.41,neg3,-1,3,RS3,5,-1,-1,0,0,0,-1,0,0,3,2.12,1.91
6,19,0,0.81,-0.33,0.41,neut1,0,1,NS1,9,8,0,0,0,0,0,0,0,1,4.34,4.25
